id, orderId, tokenId, type, endsAt, cancelled, category, highestBidder, highestBid,  claimed, totalBids, totalBidsVolume, platformFees, gbmFees, royaltyFees, sellerProceeds
5733,625,350,erc1155,1677386615,false,8,0xb7039fbd301cfaa7c66ba43fc10e2c60aa18f785,5.0,true,2,7.5,0.15,0.05,0.0,4.675 
10002,4894,356,erc1155,1677386836,false,8,0xa915023b3ed1e00e078789e63de079b4d6dcc348,5.26,true,2,10.26,0.1578,0.0526,0.0,4.7996 
6279,1171,350,erc1155,1677386944,false,8,0x816e4e35001b150a24fe2818859f5e4064bbf995,4.0,true,2,6.0,0.12,0.04,0.0,3.74 
7033,1925,351,erc1155,1677386968,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,12.0,false,2,22.0,0.36,0.12,0.0,11.02 
6610,1502,350,erc1155,1677387005,false,8,0xb9d8286cb05c873aeb564cd5fe1338a38fb3bb39,3.0,true,1,3.0,0.09,0.03,0.0,2.88 
6361,1253,350,erc1155,1677387015,false,8,0xb9d8286cb05c873aeb564cd5fe1338a38fb3bb39,3.0,true,1,3.0,0.09,0.03,0.0,2.88 
5985,877,350,erc1155,1677387147,false,8,0x816e4e35001b150a24fe2818859f5e4064bbf995,4.0,true,3,7.0,0.12,0.04,0.0,3.6900666668 
6496,1388,350,erc1155,1677387154,false,8,0x579361d2636152df34db1d6dfd343f5037ddc71d,3.0,true,2,5.2,0.09,0.03,0.0,2.77 
9994,4886,356,erc1155,1677387154,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,8.0,false,2,11.0,0.24,0.08,0.0,7.53 
6364,1256,350,erc1155,1677387261,false,8,0x816e4e35001b150a24fe2818859f5e4064bbf995,4.0,true,3,7.0,0.12,0.04,0.0,3.6900666668 
6719,1611,350,erc1155,1677387393,false,8,0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,3.0,true,2,4.0,0.09,0.03,0.0,2.83 
6975,1867,351,erc1155,1677387567,false,8,0x7f433b38dd933cea19506d1fc26369b326d55cec,7.0,true,4,21.25,0.21,0.07,0.0,6.421416667 
6984,1876,351,erc1155,1677387747,false,8,0x6994ba66fd6789044c4ad43786cc16840d099c8a,11.0,false,4,28.5,0.33,0.11,0.0,10.1606863643 
6957,1849,351,erc1155,1677387779,false,8,0x7f433b38dd933cea19506d1fc26369b326d55cec,7.0,true,2,12.0,0.21,0.07,0.0,6.47 
9897,4789,356,erc1155,1677387918,false,8,0xa915023b3ed1e00e078789e63de079b4d6dcc348,3.2,true,4,11.325,0.096,0.032,0.0,2.905689286 
6385,1277,350,erc1155,1677388214,false,8,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,2.1,true,2,4.1,0.063,0.021,0.0,1.916 
